用户ID无效,"Invalid user ID"
登录凭据错误！,"Invalid login credentials!"
验证码生成失败，请刷新重试。,"Verification code generation failed, please refresh and try again."
请完成两步验证以完成登录。,请完成两步验证以完成登录。
关键参数ID不存在！,"Key parameter ID does not exist!"
菜单不存在！,"Menu does not exist!"
该菜单下有子菜单，请先删除子菜单！,"This menu has submenus. Please delete the submenus first!"
删除成功！,"Deleted successfully!"
参数错误：缺少排序数据,"Parameter error: missing sort data"
排序更新成功,"Sort updated successfully"
参数错误：缺少菜单ID,"Parameter error: missing menu ID"
菜单不存在,"Menu does not exist"
后台密码校验通过后,后台密码校验通过后
"后台管理员密码校验通过后、建立会话前触发，允许集成模块接管 WebAuth/两步验证等登录流程。","后台管理员密码校验通过后、建立会话前触发，允许集成模块接管 WebAuth/两步验证等登录流程。"
后台首页顶部统计卡片,"Backend Homepage Top Statistics Cards"
在后台首页顶部区域渲染统计卡片，例如访客数、事件数、站点数等。,"Renders statistics cards in the top area of the backend homepage, such as visitor count, event count, site count, etc."
后台首页主要概览,"Backend Homepage Main Overview"
在后台首页主要内容区域渲染核心数据概览，例如趋势、热门事件等。,"Renders core data overviews in the main content area of the backend homepage, such as trends, hot events, etc."
后台首页标签页导航,"Backend Homepage Tab Navigation"
在后台首页标签页导航区域动态追加标签页按钮，例如像素统计、数据分析等。,"Dynamically appends tab buttons to the tab navigation area of the backend homepage, such as pixel statistics, data analysis, etc."
后台首页标签页内容,"Backend Homepage Tab Content"
在后台首页标签页内容区域动态追加标签页内容面板，例如像素统计面板、数据分析面板等。,"Dynamically appends tab content panels to the tab content area of the backend homepage, such as pixel statistics panels, data analysis panels, etc."
"Backend login providers","Backend login providers"
"Inject third-party sign-in providers above the backend login form.","Inject third-party sign-in providers above the backend login form."
系统消息数据格式错误,"System message data format error"
"收到无效的系统消息数据。\n\n发送者：%{sender}\n数据类型：%{type}\n数据内容：%{content}\n\n请检查发送系统消息的代码，确保数据格式正确。","Invalid system message data received.\n\nSender: %{sender}\nData Type: %{type}\nData Content: %{content}\n\nPlease check the code that sends system messages to ensure the data format is correct."
title,title
content,content
系统消息缺少必需字段,"System message missing required fields"
"收到的系统消息缺少必需字段。\n\n发送者：%{sender}\n缺少字段：%{fields}\n\n请确保消息数据包含 'title' 和 'content' 字段。\n\n当前数据：%{data}","Received system message is missing required fields.\n\nSender: %{sender}\nMissing fields: %{fields}\n\nPlease ensure the message data contains 'title' and 'content' fields.\n\nCurrent data: %{data}"
系统消息保存失败,"System message save failed"
"保存系统消息时发生错误。\n\n发送者：%{sender}\n错误信息：%{error}\n\n消息标题：%{title}\n消息内容：%{content}","An error occurred while saving the system message.\n\nSender: %{sender}\nError: %{error}\n\nMessage Title: %{title}\nMessage Content: %{content}"
未知,Unknown
"SystemNotificationObserver Error: Failed to save error notification - %{error}","SystemNotificationObserver Error: Failed to save error notification - %{error}"
未知来源,"Unknown source"
记住登录已过期，请重新登录！,"Remember login has expired, please login again!"
用户不存在！,"User does not exist!"
最近访问,"Recently Visited"
访问最多,"Most Visited"
"Toggle light/dark mode","Toggle light/dark mode"
"搜索 ...","Search ..."
主题色系切换,"Theme color switch"
头像,Avatar
资料,Profile
我的钱包,"My Wallet"
设置,Settings
锁定屏幕,"Lock Screen"
退出,Logout
<var>title</var>,<var>title</var>
<var>tip</var>,<var>tip</var>
通知,Notification
全部已读,"Mark All as Read"
暂无通知,"No notifications"
管理订阅,"Manage subscriptions"
确定删除该菜单吗？,"Are you sure you want to delete this menu?"
删除后不可恢复！,"Cannot be recovered after deletion!"
取消,Cancel
确定,Confirm
删除!,Delete!
删除成功,"Deletion successful"
知道了,"Got it"
"Weline Admin 绠＄悊闈㈡澘","Weline Admin 绠＄悊汱㈡澘"
角色归配,"Role Assignment"
系统,System
管理员,Administrator
返回列表,"Back to List"
选择角色后自动保存，无需手动提交。当前用户无法修改自己的角色。,"Roles are saved automatically after selection. You cannot modify your own role."
用户信息,"User Info"
当前角色,"Current Role"
状态,Status
"-- 未分配角色 --","-- No Role Assigned --"
未分配,Unassigned
（当前登录）,"(Currently logged in)"
已分配,Assigned
暂无管理员数据,"No administrator data"
网络错误，请检查网络后重试,"Network error, please check your network and try again"
用户管理,"User Management"
编辑,Edit
用户名,Username
用户名称验证成功,"Username validation successful"
请输入用户名称,"Please enter username"
邮箱,Email
邮箱验证成功,"Email validation successful"
请输入用户邮箱,"Please enter email"
密码,Password
密码输入验证成功,"Password validation successful"
请输入用户密码,"Please enter password"
提交,Submit
请输入用户名,"Please enter the username"
请输入邮箱,"Please enter the email"
请输入密码,"Enter password"
管理员管理,"Administrator Management"
新增管理员,"Add Administrator"
创建时间,"Create time"
操作,Operation
超管,"Super admin"
已删除,Deleted
已激活,Activated
已禁用,Disabled
受保护,Protected
请输入有效邮箱,"Please enter a valid email"
留空则不修改密码,"Leave empty to keep current password"
保存,Save
保存中...,Saving...
激活,Activate
禁用,Disable
删除,Delete
编辑管理员,"Edit Administrator"
保存成功,"Saved successfully"
确定要删除用户「%{1}」吗？此操作不可恢复。,"Are you sure you want to delete user ""%{1}""? This action cannot be undone."
确定要激活此用户吗？,"Are you sure you want to activate this user?"
确定要禁用此用户吗？禁用后该用户将无法登录。,"Are you sure you want to disable this user? Once disabled, this user will not be able to log in."
操作成功,"Operation successful"
请填写必填项,"Please fill in the required fields"
确认删除,"Confirm Delete"
激活用户,"Activate User"
禁用用户,"Disable User"
确认操作,"Confirm operation"
请重试,"Please try again"
加载失败,"Load failed"
输入,Input
常用菜单,"Frequently Used Menus"
"响应式 Bootstrap 5 管理后台","Responsive Bootstrap 5 Admin Dashboard"
网站正在维护中...,"Website is under maintenance..."
请稍等片刻,"Please wait a moment"
返回首页,"Return to Home"
为什么网站会处于维护模式？,"Why is the website in maintenance mode?"
网站可能发生系统升级事件，或者大多数的内容发生变化，程序员们正在维护或者升级数据以提供更加优质的服务。,"The website may be undergoing system upgrades, or most of the content is being changed. Our developers are maintaining or upgrading data to provide better services."
多久能够恢复？,"How long will it take to recover?"
大部分的网站升级活动都只有几分钟甚至几秒钟的时间。,"Most website upgrade activities only take a few minutes or even seconds."
需要帮助吗？,"Need help?"
如果你长期看到这个页面，对网站存在疑惑，请联系：,"If you see this page for a long time and have questions about the website, please contact:"
布局预设配置包,"Layout Preset Configuration Package"
选择布局预设,"Select Layout Preset"
默认布局,"Default Layout"
浅色侧边栏,"Light Sidebar"
深色菜单,"Dark menu"
图标侧边栏,"Icon Sidebar"
紧凑侧边栏,"Compact Sidebar"
水平布局,"Horizontal Layout"
水平布局（深色顶部栏）,"Horizontal Layout (Dark Topbar)"
水平布局（盒装宽度）,"Horizontal Layout (Boxed Width)"
盒装布局,"Boxed Layout"
选择预设后，将自动配置所有相关布局选项,"After selecting a preset, all related layout options will be automatically configured"
主题颜色,"Theme Color"
选择主题模式,"Select Theme Mode"
明亮模式,"Light Mode"
暗黑模式,"Dark Mode"
RTL模式,"RTL Mode"
面板,Dashboard
后台,Backend
概览,Overview
每分钟浏览者,"Visitors Per Minute"
环比,Month-over-Month
跳出率,"Bounce Rate"
新浏览者,"New Visitors"
全部,All
1月,January
半年,"Half Year"
1年,"One Year"
费用,Expenses
维护,Maintenance
利润,Profit
社媒来源,"Social Media Source"
五月,May
四月,April
三月,March
二月,February
一月,January
十二月,December
订单统计,"Order Statistics"
区域营收,"Regional Revenue"
查看更多,"View More"
最近成交,"Recent Transactions"
后台登录,后台登录
"登录 %{name} 管理面板","Login to %{name} Admin Panel"
安全后台入口,安全后台入口
内容、配置、权限和发布动作都在统一后台完成。请仅在可信设备和网络环境中登录。,内容、配置、权限和发布动作都在统一后台完成。请仅在可信设备和网络环境中登录。
连续异常登录会自动提高验证强度。,连续异常登录会自动提高验证强度。
配置、权限与模块维护在同一工作台闭环处理。,配置、权限与模块维护在同一工作台闭环处理。
仅在可信环境保存登录状态。,仅在可信环境保存登录状态。
管理员登录,管理员登录
访问后台前需要验证身份,访问后台前需要验证身份
请输入管理员账号,"Please enter the admin account"
验证码,"Verification code"
点击刷新验证码,"Click to refresh the verification code."
请输入验证码,"Please enter the verification code"
记住我,"Remember Me"
仅在你确认可信的设备和网络环境中保存登录状态。,"Only save login state on trusted devices and network environments."
登录,"Log in"
登录中…,登录中…
登录保护,"Login protection"
连续异常登录会自动提高验证强度，减少后台入口暴露面。,"Consecutive abnormal logins will automatically increase verification strength, reducing the exposure of the backend entry point."
统一工作台,"Unified Workbench"
内容、配置、权限和模块操作都在同一后台闭环处理。,"Content, configuration, permissions, and module operations are all processed in the same backend closed loop."
可信发布,"Trusted Release"
后台入口、品牌标识和基础样式都保持统一的可回退策略。,"Background entry, brand identity, and base styles all maintain a consistent fallback strategy."
权限边界清晰,"Clear permission boundaries"
角色、菜单与访问入口统一受控。,"Roles, menus, and access points are centrally managed."
发布动作集中,"Publish action set"
配置调整、内容发布和模块维护在同一工作流里完成。,"Configuration adjustments, content publishing, and module maintenance are completed within the same workflow."
受信任环境,"Trusted Environment"
仅在可信设备和网络环境中保存登录状态。,"Only save login state on trusted devices and network environments."
账号开通,"Account Activation"
密码重置,"Reset Password"
权限分配,"Permission assignment"
后台安全入口,"Backend Security Entry"
"把 %{name} 的配置、权限与发布流程收拢到一个后台工作台里","Consolidate the configuration, permissions, and publishing process of %{name} into a single backend workspace"
这里用于处理内容发布、配置调整、权限分配与模块维护。登录后可继续你上次的后台操作上下文。,"This is used for handling content publishing, configuration adjustments, permission assignment, and module maintenance. After logging in, you can continue your previous backend operation context."
保持后台环境可信,"Keep Backend Environment Trustworthy"
建议仅在受信任设备上保存登录状态；如果检测到异常锁定、账号状态变化或权限缺失，请联系超级管理员处理。,"Suggestion: Only save login status on trusted devices; if abnormal locking, account status changes, or missing permissions are detected, contact the super administrator for handling."
欢迎回来,"Welcome back"
输入管理员账号后即可继续处理后台任务、配置变更与权限操作。,"Enter the admin account to proceed with backend tasks, configuration changes, and permission operations."
安全验证已启用,"Security verification enabled"
登录中,"Logging in"
管理员账号由超级管理员统一开通与维护,"Admin accounts are created and maintained uniformly by the super admin"
如需重置密码、解除锁定或补充后台权限，请联系已有超级管理员处理。,"To reset your password, unlock your account, or supplement backend permissions, please contact an existing super administrator."
"若未配置自定义后台 Logo，登录页会自动回退到内置 Weline 标识。","If no custom admin logo is configured, the login page will automatically fall back to the built-in Weline logo."
网站维护,"Website Maintenance"
返回首页重试,"Return to Home and Retry"
刷新,Refresh
Cms内容管理,"CMS Content Management"
内容管理,"Content Management"
后台可视化建设页面等的内容管理。,"Content management for backend visual page building, etc."
系统事件,"System Events"
查看系统中所有已注册的事件和观察者，方便开发者使用观察者模式订阅系统事件,"View all registered events and observers in the system, making it easy for developers to subscribe to system events using the observer pattern"
配置文件,"Configuration file"
事件类型,"Event type"
观察者总数,"Total Observers"
已启用,Enabled
搜索事件名、观察者、实例类...,"Search event name, observer, instance class..."
所有状态,"All Statuses"
所有模块,"All Modules"
所有事件,"All Events"
展开全部,"Expand all"
折叠全部,"Collapse All"
暂无事件配置,"No Event Configuration"
个事件,events
个观察者,observer
观察者名,"Observer Name"
实例类,"Instance Class"
共享,Shared
排序,Sort
独占,Exclusive
找到,Found
个观察者，来自,"observers from"
个配置文件,"configuration files"
菜单管理,"Menu Management"
菜单树,"Menu tree"
搜索菜单...,"Search Menu..."
新增菜单,"Add Menu"
暂无菜单数据,"No menu data"
菜单代码,"Menu Code"
资源标识,"Resource identifier"
模块,Module.
自定义,Custom
添加子菜单,"Add Submenu"
系统菜单无法删除,"System menu cannot be deleted"
总计,Total
系统菜单,"System Menu"
自定义菜单,"Custom Menu"
顶级菜单,"Top-level menu"
编辑菜单,"Edit Menu"
菜单名称,"Menu Name"
菜单标题,"Menu title"
父级资源,"Parent Resource"
无（顶级菜单）,"None (top-level menu)"
动作URL,"Action URL"
所属模块,"Parent Module"
图标类,"Icon class"
启用,Enable
获取菜单信息失败,"Failed to fetch menu information"
请求失败,"Request failed"
确定要删除菜单,"Are you sure you want to delete the menu"
吗？,?
模组管理,"Module Management"
系统中安装的模组。,"Modules installed in the system."
模组名,"Module Name"
命名空间,Namespace
安装位置,"Installation Location"
目录,Directory
路由,Route
版本,Version
描述,Description
路由管理,"Route management"
查看和管理系统中所有已注册的路由，支持按模块分组浏览,"View and manage all registered routes in the system, supports browsing grouped by module"
路由总数,"Total routes"
涉及模块,"Involved modules"
"GET 路由","GET route"
"POST 路由","POST routing"
搜索路由路径、控制器...,"Search route path, controller..."
所有方法,"All Methods"
暂无路由数据,"No routing data"
条路由,"items of routes"
方法,Method
路由路径,"Route path"
控制器信息,"Controller Information"
控制器,Controller
设为首页,"Set as Homepage"
条路由，来自,"items of routes, from"
个模块,modules
插件管理,"Plugin Management"
查看系统中所有已注册的插件（拦截器），了解函数修改情况,"View all registered plugins (interceptors) in the system to understand function modifications"
插件数,"Number of plugins"
搜索插件类、实例类、名称...,"Search Plugin Class, Instance Class, Name..."
暂无插件配置,"No plugin configuration"
个拦截器,interceptor
插件：,Plugin:
拦截器名,"Interceptor name"
目标类,"Target class"
个拦截器，来自,"interceptors from"
